videoid,locationurl,filesize,,
6371,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheShakyQuake/mpeg2/NASASF-GPS.mpg,92.4,,
6372,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheShakyQuake/mpeg2/NASASF-LayersOfTheEarth.mpg,165.19,,
6373,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheShakyQuake/mpeg2/NASASF-MeasuringEarthquakes.mpg,125.69,,
6374,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheShakyQuake/mpeg2/NASASF-Meteors.mpg,93.4,,
6375,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheShakyQuake/mpeg2/NASASF-MoreOnEarthquakes.mpg,45.47,,
6376,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheShakyQuake/mpeg2/NASASF-Seismographs.mpg,96.66,,
6377,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheShakyQuake/mpeg2/NASASF-Seismology.mpg,106.8,,
6378,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheShakyQuake/mpeg2/NASASF-TriangulationActivity.mpg,117.11,,
6379,http://nasa.ibiblio.org/video/NASASciFiles/NASAWF-TheInhabitableHabitat/mpeg2/NASAWF-TheInhabitableHabitat.mpg,2529.28,,
6395,http://nasa.ibiblio.org/video/NASADestinationTomorrow/NASADT15/mpeg2/NASADT15.mpg,1227.27,,
6399,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheRadicalRide/mpeg1/NASASF-TheRadicalRide.mpg,2536.23,,
6400,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheRadicalRide/mpeg2/NASASF-ConceptCars.mpg,172.99,,
6401,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheRadicalRide/mpeg2/NASASF-ControlledFlight.mpg,98.77,,
6402,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheRadicalRide/mpeg2/NASASF-EngineeringDesignProcess.mpg,114.91,,
6403,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheRadicalRide/mpeg2/NASASF-FutureOfTransportation.mpg,67.91,,
6404,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheRadicalRide/mpeg2/NASASF-HistoryOfTransportation.mpg,158.81,,
6405,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheRadicalRide/mpeg2/NASASF-Hovercraft.mpg,91.31,,
6406,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheRadicalRide/mpeg2/NASASF-ModelsAndTesting.mpg,143.11,,
6407,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheRadicalRide/mpeg2/NASASF-MouseTrapCarActivity.mpg,136.11,,
6408,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheRadicalRide/mpeg2/NASASF-PAVs.mpg,163.42,,
6409,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheRadicalRide/mpeg2/NASASF-TheChannelTunnel.mpg,194.5,,
6410,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheGalacticVacation/mpeg2/NASASF-TheGalacticVacation.mpg,2426.81,,
6411,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheGalacticVacation/mpeg2/NASASF-AreciboObservatory.mpg,247.69,,
6412,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheGalacticVacation/mpeg2/NASASF-ForcesOfMotion.mpg,181.21,,
6413,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheGalacticVacation/mpeg2/NASASF-FutureSpaceTravel.mpg,100.23,,
6414,http://nasa.ibiblio.org/video/NASASciFiles/NASASF-TheGalacticVacation/mpeg2/NASASF-ISSLife.mpg,53.91,,
